# LAMMPS data file written by OVITO Basic 3.5.4
15552 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.00000 0.00000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

279 2 0.0 7.5156579 13.17176343 20.68663104
280 2 0.0 18.82707867 13.17176343 5.65610553
281 2 0.0 7.5156579 13.17176343 5.65610553
282 2 0.0 18.82707867 13.17176343 20.68663104
283 2 0.0 20.68663104 7.5156579 13.17176343
284 2 0.0 5.65610553 18.82707867 13.17176343
285 2 0.0 5.65610553 7.5156579 13.17176343
286 2 0.0 20.68663104 18.82707867 13.17176343
287 2 0.0 13.17176343 7.5156579 20.68663104
288 2 0.0 13.17176343 18.82707867 5.65610553
289 2 0.0 13.17176343 18.82707867 20.68663104
290 2 0.0 13.17176343 7.5156579 5.65610553
291 2 0.0 20.68663104 0.0 20.68663104
292 2 0.0 5.65610553 0.0 5.65610553
293 2 0.0 20.68663104 0.0 5.65610553
294 2 0.0 5.65610553 0.0 20.68663104
295 2 0.0 20.68663104 20.68663104 0.0
296 2 0.0 5.65610553 5.65610553 0.0
297 2 0.0 5.65610553 20.68663104 0.0
298 2 0.0 20.68663104 5.65610553 0.0
299 2 0.0 13.17176343 20.68663104 7.5156579
300 2 0.0 13.17176343 5.65610553 18.82707867
301 2 0.0 13.17176343 5.65610553 7.5156579
302 2 0.0 13.17176343 20.68663104 18.82707867
303 2 0.0 20.68663104 13.17176343 7.5156579
304 2 0.0 5.65610553 13.17176343 18.82707867
305 2 0.0 20.68663104 13.17176343 18.82707867
306 2 0.0 5.65610553 13.17176343 7.5156579
307 3 0.0 10.01613546 6.006204 23.1871086
308 3 0.0 16.3273914 20.33732286 23.1871086
309 3 0.0 10.01613546 20.33732286 3.15562797
310 3 0.0 3.15562797 16.3273914 6.006204
311 3 0.0 3.15562797 10.01613546 20.33732286
312 3 0.0 6.006204 23.1871086 10.01613546
313 3 0.0 20.33732286 23.1871086 16.3273914
314 3 0.0 6.006204 3.15562797 16.3273914
315 3 0.0 20.33732286 3.15562797 10.01613546
316 3 0.0 6.006204 10.01613546 3.15562797
317 3 0.0 20.33732286 16.3273914 3.15562797
318 3 0.0 6.006204 16.3273914 23.1871086
319 3 0.0 10.01613546 23.1871086 20.33732286
320 3 0.0 16.3273914 23.1871086 6.006204
321 3 0.0 16.3273914 3.15562797 20.33732286
322 3 0.0 10.01613546 3.15562797 6.006204
323 3 0.0 23.1871086 6.006204 16.3273914
324 3 0.0 23.1871086 20.33732286 10.01613546
325 3 0.0 3.15562797 6.006204 10.01613546
326 3 0.0 3.15562797 20.33732286 16.3273914
327 3 0.0 16.3273914 20.33732286 3.15562797
328 3 0.0 10.01613546 6.006204 3.15562797
329 3 0.0 10.01613546 20.33732286 23.1871086
330 3 0.0 16.3273914 6.006204 23.1871086
331 3 0.0 3.15562797 16.3273914 20.33732286
332 3 0.0 3.15562797 10.01613546 6.006204
333 3 0.0 23.1871086 16.3273914 6.006204
334 3 0.0 20.33732286 3.15562797 16.3273914
335 3 0.0 6.006204 3.15562797 10.01613546
336 3 0.0 20.33732286 23.1871086 10.01613546
337 3 0.0 6.006204 23.1871086 16.3273914
338 3 0.0 6.006204 10.01613546 23.1871086
339 3 0.0 6.006204 16.3273914 3.15562797
340 3 0.0 10.01613546 3.15562797 20.33732286
341 3 0.0 10.01613546 23.1871086 6.006204
342 3 0.0 16.3273914 23.1871086 20.33732286
343 3 0.0 3.15562797 20.33732286 10.01613546
344 3 0.0 3.15562797 6.006204 16.3273914
345 3 0.0 23.1871086 20.33732286 16.3273914
346 3 0.0 23.1871086 6.006204 10.01613546
347 3 0.0 10.01613546 19.17796743 10.01613546
348 3 0.0 16.3273914 19.17796743 16.3273914
349 3 0.0 10.01613546 7.16476914 16.3273914
350 3 0.0 23.1871086 23.1871086 19.17796743
351 3 0.0 23.1871086 3.15562797 7.16476914
352 3 0.0 3.15562797 3.15562797 19.17796743
353 3 0.0 3.15562797 23.1871086 7.16476914
354 3 0.0 10.01613546 10.01613546 7.16476914
355 3 0.0 16.3273914 10.01613546 19.17796743
356 3 0.0 16.3273914 16.3273914 7.16476914
357 3 0.0 10.01613546 16.3273914 19.17796743
